keyword_id,campaign_id,keyword_search_term,device
2364,brightloft_homeessentials_performancemax,modern kitchen essentials,desktop
3978,brightloft_homeessentials_performancemax,home organization ideas,mobile
4326,brightloft_homeessentials_performancemax,everyday cleaning tools,mobile
5006,brightloft_homeessentials_performancemax,affordable storage bins,desktop
9538,brightloft_homeessentials_performancemax,minimalist cookware sets,mobile
2327,casamira_kitchenware_seasonallaunch,kitchenware sale,desktop
2631,casamira_kitchenware_seasonallaunch,new kitchen products,desktop
3832,casamira_kitchenware_seasonallaunch,nonstick pans 2025,desktop
6512,casamira_kitchenware_seasonallaunch,modern cookware sets,desktop
9177,casamira_kitchenware_seasonallaunch,ceramic dinnerware,tablet
2464,cottonoak_summerbasics_lal_audience,organic cotton t shirts,mobile
3472,cottonoak_summerbasics_lal_audience,sustainable basics clothing,mobile
4660,cottonoak_summerbasics_lal_audience,neutral wardrobe staples,tablet
6962,cottonoak_summerbasics_lal_audience,linen shorts sale,desktop
8728,cottonoak_summerbasics_lal_audience,eco friendly summer wear,mobile
2783,cozythreads_fallretargeting_q3,fleece hoodie discount,tablet
3108,cozythreads_fallretargeting_q3,soft cotton sweater,tablet
5004,cozythreads_fallretargeting_q3,cozy fall outfits women,desktop
5071,cozythreads_fallretargeting_q3,flannel shirts sale,mobile
9277,cozythreads_fallretargeting_q3,autumn wardrobe essentials,tablet
2202,echowear_streetstyle_engagementboost,best cargo pants 2024,mobile
3880,echowear_streetstyle_engagementboost,unisex street style,desktop
5365,echowear_streetstyle_engagementboost,casual fashion inspo,mobile
6165,echowear_streetstyle_engagementboost,trendy graphic hoodies,tablet
8375,echowear_streetstyle_engagementboost,streetwear outfits,tablet
4547,everydayease_apparel_cpa_test,casual workwear women,tablet
6375,everydayease_apparel_cpa_test,best basic tees,mobile
6861,everydayease_apparel_cpa_test,everyday t shirts,tablet
6950,everydayease_apparel_cpa_test,comfortable office wear,tablet
9839,everydayease_apparel_cpa_test,cotton pants online,desktop
5060,havenhome_clearance_rtg_july,outlet home accessories,desktop
5342,havenhome_clearance_rtg_july,summer décor deals,tablet
6054,havenhome_clearance_rtg_july,discount furniture online,mobile
7025,havenhome_clearance_rtg_july,home clearance sale,desktop
7283,havenhome_clearance_rtg_july,last chance home sale,desktop
3224,hearthstone_decorgiftguide_q4,rustic candles online,desktop
3649,hearthstone_decorgiftguide_q4,holiday décor sale,desktop
4689,hearthstone_decorgiftguide_q4,winter home accents,tablet
4794,hearthstone_decorgiftguide_q4,warm lighting decor,tablet
4797,hearthstone_decorgiftguide_q4,cozy home gift ideas,tablet
4056,homehaven_summerrefresh_search,minimalist wall art sale,desktop
4705,homehaven_summerrefresh_search,summer home décor ideas,mobile
4790,homehaven_summerrefresh_search,refresh home style,desktop
7376,homehaven_summerrefresh_search,affordable home accents,mobile
8953,homehaven_summerrefresh_search,modern living room sets,tablet
2382,lunaluxe_winterwarmers_display,winter comfort essentials,tablet
2913,lunaluxe_winterwarmers_display,warm pajamas for women,mobile
3767,lunaluxe_winterwarmers_display,luxury winter robes,tablet
4032,lunaluxe_winterwarmers_display,cozy blanket sets,mobile
6678,lunaluxe_winterwarmers_display,heated throws online,mobile
6338,nordicnest_bedding_promoblast,soft pillowcases online,desktop
6803,nordicnest_bedding_promoblast,minimalist bed linens,mobile
6827,nordicnest_bedding_promoblast,premium bedding discount,tablet
6892,nordicnest_bedding_promoblast,linen duvet cover sale,desktop
7851,nordicnest_bedding_promoblast,scandinavian bedding sets,desktop
2056,peakcomfort_sneakerdrop_mobileonly,best sneakers 2025,tablet
6122,peakcomfort_sneakerdrop_mobileonly,limited edition shoes,tablet
6392,peakcomfort_sneakerdrop_mobileonly,comfort running shoes,tablet
7724,peakcomfort_sneakerdrop_mobileonly,mobile exclusive sneakers,mobile
8113,peakcomfort_sneakerdrop_mobileonly,new sneaker drop,tablet
3037,pureform_athleticpush_may2025,gym outfits for women,mobile
3048,pureform_athleticpush_may2025,athletic wear men sale,tablet
4562,pureform_athleticpush_may2025,running compression shorts,desktop
8372,pureform_athleticpush_may2025,performance workout gear,tablet
8423,pureform_athleticpush_may2025,best activewear 2025,mobile
2703,softlanding_bathcollection_q2promo,cotton bathrobe sale,tablet
4508,softlanding_bathcollection_q2promo,luxury towel sets,desktop
8074,softlanding_bathcollection_q2promo,bathroom refresh ideas,mobile
8956,softlanding_bathcollection_q2promo,spa style bathroom decor,desktop
9485,softlanding_bathcollection_q2promo,soft bath mats,desktop
2728,stepintospring_2024_sneakerlaunch,new season sneakers 2024,tablet
7238,stepintospring_2024_sneakerlaunch,lightweight sneakers sale,tablet
7823,stepintospring_2024_sneakerlaunch,women’s walking shoes spring,desktop
8096,stepintospring_2024_sneakerlaunch,breathable trainers men,desktop
8746,stepintospring_2024_sneakerlaunch,spring running shoes,tablet
4011,swiftstep_runninggear_conversiontest,men’s performance shorts,tablet
4691,swiftstep_runninggear_conversiontest,running gear sale,tablet
5496,swiftstep_runninggear_conversiontest,women’s running leggings,tablet
6220,swiftstep_runninggear_conversiontest,marathon training gear,desktop
7835,swiftstep_runninggear_conversiontest,breathable running shirts,desktop
2476,threadline_ecocollection_abtest01,ethical fashion brands,mobile
3110,threadline_ecocollection_abtest01,green apparel collection,desktop
3327,threadline_ecocollection_abtest01,eco friendly clothing,mobile
3870,threadline_ecocollection_abtest01,recycled cotton hoodie,mobile
8903,threadline_ecocollection_abtest01,sustainable fabric shirts,tablet
4546,trailbound_hikingboots_remarketing,hiking boots for women,mobile
4728,trailbound_hikingboots_remarketing,durable trail shoes,mobile
5462,trailbound_hikingboots_remarketing,men’s hiking footwear,tablet
6182,trailbound_hikingboots_remarketing,all terrain hiking gear,tablet
8733,trailbound_hikingboots_remarketing,waterproof hiking boots,mobile
2144,urbanstride_shoesale_prospecting,urban shoe sale,mobile
3024,urbanstride_shoesale_prospecting,trendy high tops women,mobile
3719,urbanstride_shoesale_prospecting,casual sneakers under 100,mobile
6633,urbanstride_shoesale_prospecting,limited edition street shoes,desktop
6847,urbanstride_shoesale_prospecting,streetwear sneakers men,desktop
2025,velvetpeak_holidaystyle_lookbook,winter lookbook women,desktop
2652,velvetpeak_holidaystyle_lookbook,holiday outfit inspiration,mobile
3945,velvetpeak_holidaystyle_lookbook,new year’s party outfits,desktop
4822,velvetpeak_holidaystyle_lookbook,festive fashion ideas,mobile
5868,velvetpeak_holidaystyle_lookbook,velvet dresses 2024,mobile
