campaign_id,campaign_name
brightloft_homeessentials_performancemax,Brightloft Homeessentials Performancemax
casamira_kitchenware_seasonallaunch,Casamira Kitchenware Seasonallaunch
cottonoak_summerbasics_lal_audience,Cottonoak Summerbasics Lal Audience
cozythreads_fallretargeting_q3,Cozythreads Fallretargeting Q3
echowear_streetstyle_engagementboost,Echowear Streetstyle Engagementboost
everydayease_apparel_cpa_test,Everydayease Apparel Cpa Test
havenhome_clearance_rtg_july,Havenhome Clearance Rtg July
hearthstone_decorgiftguide_q4,Hearthstone Decorgiftguide Q4
homehaven_summerrefresh_search,Homehaven Summerrefresh Search
lunaluxe_winterwarmers_display,Lunaluxe Winterwarmers Display
nordicnest_bedding_promoblast,Nordicnest Bedding Promoblast
peakcomfort_sneakerdrop_mobileonly,Peakcomfort Sneakerdrop Mobileonly
pureform_athleticpush_may2025,Pureform Athleticpush May2025
softlanding_bathcollection_q2promo,Softlanding Bathcollection Q2Promo
stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch
swiftstep_runninggear_conversiontest,Swiftstep Runninggear Conversiontest
threadline_ecocollection_abtest01,Threadline Ecocollection Abtest01
trailbound_hikingboots_remarketing,Trailbound Hikingboots Remarketing
urbanstride_shoesale_prospecting,Urbanstride Shoesale Prospecting
velvetpeak_holidaystyle_lookbook,Velvetpeak Holidaystyle Lookbook
