click_timestamp,campaign_id,keyword_id,click_id,click_cost
2024-03-04 10:33:17,stepintospring_2024_sneakerlaunch,8746,47125,1.18
2024-03-04 15:49:47,stepintospring_2024_sneakerlaunch,2728,91624,1.1
2024-03-05 16:55:57,stepintospring_2024_sneakerlaunch,7238,64921,1.5
2024-03-05 18:04:18,stepintospring_2024_sneakerlaunch,2728,13015,0.93
2024-03-11 9:36:14,stepintospring_2024_sneakerlaunch,8746,66648,1.19
2024-03-13 1:42:20,stepintospring_2024_sneakerlaunch,7823,88196,1.77
2024-03-13 3:02:44,stepintospring_2024_sneakerlaunch,2728,78993,1.3
2024-03-14 12:26:58,stepintospring_2024_sneakerlaunch,8746,99110,1.25
2024-03-18 4:47:11,stepintospring_2024_sneakerlaunch,7238,98596,1.37
2024-03-20 13:05:16,stepintospring_2024_sneakerlaunch,8096,13753,1.32
2024-03-20 18:15:33,stepintospring_2024_sneakerlaunch,7238,91814,1.24
2024-03-21 11:31:39,stepintospring_2024_sneakerlaunch,7823,87632,1.76
2024-03-27 0:49:05,stepintospring_2024_sneakerlaunch,7823,59374,1.98
2024-03-28 23:20:06,stepintospring_2024_sneakerlaunch,7238,40130,1.39
2024-04-01 8:51:14,stepintospring_2024_sneakerlaunch,8096,91483,1.02
2024-04-02 16:31:35,stepintospring_2024_sneakerlaunch,8096,53589,1.28
2024-04-05 2:46:00,stepintospring_2024_sneakerlaunch,8746,88418,1.37
2024-04-08 2:08:52,stepintospring_2024_sneakerlaunch,7238,85325,1.39
2024-04-11 19:32:39,stepintospring_2024_sneakerlaunch,2728,63824,1.29
2024-04-11 22:26:33,stepintospring_2024_sneakerlaunch,8096,33347,1.32
2024-05-20 4:42:21,urbanstride_shoesale_prospecting,6847,53956,2.68
2024-05-20 10:20:33,urbanstride_shoesale_prospecting,3024,91936,1.59
2024-05-22 4:32:30,urbanstride_shoesale_prospecting,6633,31327,2.03
2024-05-22 13:06:35,urbanstride_shoesale_prospecting,6847,20451,2.22
2024-05-24 21:12:29,urbanstride_shoesale_prospecting,2144,11718,1.24
2024-05-25 5:24:04,urbanstride_shoesale_prospecting,2144,50692,1.25
2024-05-27 17:12:00,urbanstride_shoesale_prospecting,3024,85236,1.65
2024-05-27 20:07:30,urbanstride_shoesale_prospecting,6847,42961,2.06
2024-05-28 10:21:20,urbanstride_shoesale_prospecting,3719,73425,0.94
2024-05-31 4:37:17,urbanstride_shoesale_prospecting,3719,92742,1.27
2024-06-01 22:10:04,urbanstride_shoesale_prospecting,6633,29345,2.16
2024-06-03 15:31:38,cottonoak_summerbasics_lal_audience,2464,13776,1.69
2024-06-04 18:17:28,urbanstride_shoesale_prospecting,3024,59258,1.96
2024-06-05 10:46:32,urbanstride_shoesale_prospecting,3024,55595,1.95
