date,campaign_id,campaign_name,keyword_id,keyword_search_term,device,article_id,article_title,article_author,total_cost,total_revenue,total_clicks,total_impressions
2024-03-04,stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch,2728,new season sneakers 2024,tablet,8551495,Must-Have Sneakers for 2024,Hayden Walker,1.1,11.7,1,11
2024-03-04,stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch,8746,spring running shoes,tablet,1659786,Top 10 Running Shoes to Spring Into Shape,Riley Wilson,1.18,18.72,1,23
2024-03-05,stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch,2728,new season sneakers 2024,tablet,8551495,Must-Have Sneakers for 2024,Hayden Walker,0.93,1.27,1,27
2024-03-05,stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch,7238,lightweight sneakers sale,tablet,4614018,How to Find Sneaker Deals Without Sacrificing Style,Quinn Clark,1.5,5.83,1,23
2024-03-11,stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch,8746,spring running shoes,tablet,7615783,Spring Running Essentials: Shoes and Gear,Alex Johnson,1.19,9.25,1,42
2024-03-13,stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch,2728,new season sneakers 2024,tablet,8174638,Sneaker Styles You’ll Love This Year,Morgan Davis,1.3,4.7,1,15
2024-03-13,stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch,7823,women’s walking shoes spring,desktop,5112506,Best Women’s Walking Shoes for Spring Strolls,Hayden Walker,1.77,6.49,1,9
2024-03-14,stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch,8746,spring running shoes,tablet,5753320,How to Choose the Perfect Running Shoe This Season,Cameron White,1.25,1.48,1,5
2024-03-18,stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch,7238,lightweight sneakers sale,tablet,3613000,Lightweight Sneakers for Travel and Running,Reagan Allen,1.37,18.44,1,13
2024-03-20,stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch,7238,lightweight sneakers sale,tablet,4614018,How to Find Sneaker Deals Without Sacrificing Style,Quinn Clark,1.24,18.18,1,24
2024-03-20,stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch,8096,breathable trainers men,desktop,1681449,Men's Trainer Buying Guide: Comfort Meets Style,Riley Wilson,1.32,13.83,1,42
2024-03-21,stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch,7823,women’s walking shoes spring,desktop,4616433,How to Pick Walking Shoes for Warm Weather,Casey Brown,1.76,7.19,1,32
2024-03-27,stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch,7823,women’s walking shoes spring,desktop,9918796,Spring Walking Shoes That Blend Comfort and Fashion,Emerson Young,1.98,15.42,1,44
2024-03-28,stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch,7238,lightweight sneakers sale,tablet,1689493,Best Lightweight Sneakers to Grab on Sale,Jamie Thompson,1.39,10.27,1,20
2024-04-01,stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch,8096,breathable trainers men,desktop,2622949,Why Breathable Trainers Are a Must for Men,Dakota Garcia,1.02,3.57,1,43
2024-04-02,stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch,8096,breathable trainers men,desktop,2622949,Why Breathable Trainers Are a Must for Men,Dakota Garcia,1.28,3.68,1,49
2024-04-05,stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch,8746,spring running shoes,tablet,1659786,Top 10 Running Shoes to Spring Into Shape,Riley Wilson,1.37,11.07,1,32
2024-04-08,stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch,7238,lightweight sneakers sale,tablet,1689493,Best Lightweight Sneakers to Grab on Sale,Jamie Thompson,1.39,1.66,1,28
2024-04-11,stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch,2728,new season sneakers 2024,tablet,8551495,Must-Have Sneakers for 2024,Hayden Walker,1.29,11.33,1,43
2024-04-11,stepintospring_2024_sneakerlaunch,Stepintospring 2024 Sneakerlaunch,8096,breathable trainers men,desktop,2622949,Why Breathable Trainers Are a Must for Men,Dakota Garcia,1.32,17.94,1,14
2024-05-20,urbanstride_shoesale_prospecting,Urbanstride Shoesale Prospecting,3024,trendy high tops women,mobile,1988453,Top High Tops for Fashion and Comfort,Sydney Lewis,1.59,16.08,1,40
